,MRED:,ValidSegmentWidth
0,3.7683%,5
1,3.1981%,6
2,3.9095%,7
3,4.2029%,8
4,4.2029%,9
5,4.2029%,10
6,4.2029%,11
7,4.2029%,12
8,4.2029%,13
9,4.2029%,14
10,4.2029%,15
11,4.2029%,16
